,Vehicles,Month,Day,Hour,Vehicles_lag_1,Vehicles_lag_2
2017-01-01 00:00:00,3,1,1,0,,
2017-01-01 01:00:00,1,1,1,1,3.0,
2017-01-01 02:00:00,4,1,1,2,1.0,3.0
2017-01-01 03:00:00,4,1,1,3,4.0,1.0
2017-01-01 04:00:00,2,1,1,4,4.0,4.0
2017-01-01 05:00:00,1,1,1,5,2.0,4.0
2017-01-01 06:00:00,1,1,1,6,1.0,2.0
2017-01-01 07:00:00,4,1,1,7,1.0,1.0
2017-01-01 08:00:00,4,1,1,8,4.0,1.0
2017-01-01 09:00:00,2,1,1,9,4.0,4.0
2017-01-01 10:00:00,2,1,1,10,2.0,4.0
2017-01-01 11:00:00,5,1,1,11,2.0,2.0
2017-01-01 12:00:00,4,1,1,12,5.0,2.0
2017-01-01 13:00:00,6,1,1,13,4.0,5.0
2017-01-01 14:00:00,4,1,1,14,6.0,4.0
2017-01-01 15:00:00,3,1,1,15,4.0,6.0
2017-01-01 16:00:00,6,1,1,16,3.0,4.0
2017-01-01 17:00:00,6,1,1,17,6.0,3.0
2017-01-01 18:00:00,2,1,1,18,6.0,6.0
2017-01-01 19:00:00,3,1,1,19,2.0,6.0
2017-01-01 20:00:00,8,1,1,20,3.0,2.0
2017-01-01 21:00:00,6,1,1,21,8.0,3.0
2017-01-01 22:00:00,4,1,1,22,6.0,8.0
2017-01-01 23:00:00,8,1,1,23,4.0,6.0
2017-01-02 00:00:00,7,1,2,0,8.0,4.0
2017-01-02 01:00:00,5,1,2,1,7.0,8.0
2017-01-02 02:00:00,3,1,2,2,5.0,7.0
2017-01-02 03:00:00,5,1,2,3,3.0,5.0
2017-01-02 04:00:00,2,1,2,4,5.0,3.0
2017-01-02 05:00:00,5,1,2,5,2.0,5.0
2017-01-02 06:00:00,4,1,2,6,5.0,2.0
2017-01-02 07:00:00,3,1,2,7,4.0,5.0
2017-01-02 08:00:00,3,1,2,8,3.0,4.0
2017-01-02 09:00:00,5,1,2,9,3.0,3.0
2017-01-02 10:00:00,10,1,2,10,5.0,3.0
2017-01-02 11:00:00,8,1,2,11,10.0,5.0
2017-01-02 12:00:00,8,1,2,12,8.0,10.0
2017-01-02 13:00:00,6,1,2,13,8.0,8.0
2017-01-02 14:00:00,10,1,2,14,6.0,8.0
2017-01-02 15:00:00,13,1,2,15,10.0,6.0
2017-01-02 16:00:00,14,1,2,16,13.0,10.0
2017-01-02 17:00:00,10,1,2,17,14.0,13.0
2017-01-02 18:00:00,7,1,2,18,10.0,14.0
2017-01-02 19:00:00,10,1,2,19,7.0,10.0
2017-01-02 20:00:00,7,1,2,20,10.0,7.0
2017-01-02 21:00:00,7,1,2,21,7.0,10.0
2017-01-02 22:00:00,17,1,2,22,7.0,7.0
2017-01-02 23:00:00,13,1,2,23,17.0,7.0
2017-01-03 00:00:00,9,1,3,0,13.0,17.0
2017-01-03 01:00:00,5,1,3,1,9.0,13.0
2017-01-03 02:00:00,6,1,3,2,5.0,9.0
2017-01-03 03:00:00,8,1,3,3,6.0,5.0
2017-01-03 04:00:00,4,1,3,4,8.0,6.0
2017-01-03 05:00:00,3,1,3,5,4.0,8.0
2017-01-03 06:00:00,5,1,3,6,3.0,4.0
2017-01-03 07:00:00,3,1,3,7,5.0,3.0
2017-01-03 08:00:00,8,1,3,8,3.0,5.0
2017-01-03 09:00:00,7,1,3,9,8.0,3.0
2017-01-03 10:00:00,10,1,3,10,7.0,8.0
2017-01-03 11:00:00,11,1,3,11,10.0,7.0
2017-01-03 12:00:00,16,1,3,12,11.0,10.0
2017-01-03 13:00:00,13,1,3,13,16.0,11.0
2017-01-03 14:00:00,12,1,3,14,13.0,16.0
2017-01-03 15:00:00,16,1,3,15,12.0,13.0
2017-01-03 16:00:00,11,1,3,16,16.0,12.0
2017-01-03 17:00:00,12,1,3,17,11.0,16.0
2017-01-03 18:00:00,15,1,3,18,12.0,11.0
2017-01-03 19:00:00,15,1,3,19,15.0,12.0
2017-01-03 20:00:00,10,1,3,20,15.0,15.0
2017-01-03 21:00:00,10,1,3,21,10.0,15.0
2017-01-03 22:00:00,11,1,3,22,10.0,10.0
2017-01-03 23:00:00,9,1,3,23,11.0,10.0
2017-01-04 00:00:00,11,1,4,0,9.0,11.0
2017-01-04 01:00:00,6,1,4,1,11.0,9.0
2017-01-04 02:00:00,8,1,4,2,6.0,11.0
2017-01-04 03:00:00,2,1,4,3,8.0,6.0
2017-01-04 04:00:00,2,1,4,4,2.0,8.0
2017-01-04 05:00:00,3,1,4,5,2.0,2.0
2017-01-04 06:00:00,2,1,4,6,3.0,2.0
2017-01-04 07:00:00,2,1,4,7,2.0,3.0
2017-01-04 08:00:00,6,1,4,8,2.0,2.0
2017-01-04 09:00:00,4,1,4,9,6.0,2.0
2017-01-04 10:00:00,8,1,4,10,4.0,6.0
2017-01-04 11:00:00,9,1,4,11,8.0,4.0
2017-01-04 12:00:00,8,1,4,12,9.0,8.0
2017-01-04 13:00:00,11,1,4,13,8.0,9.0
2017-01-04 14:00:00,8,1,4,14,11.0,8.0
2017-01-04 15:00:00,9,1,4,15,8.0,11.0
2017-01-04 16:00:00,11,1,4,16,9.0,8.0
2017-01-04 17:00:00,12,1,4,17,11.0,9.0
2017-01-04 18:00:00,9,1,4,18,12.0,11.0
2017-01-04 19:00:00,7,1,4,19,9.0,12.0
2017-01-04 20:00:00,11,1,4,20,7.0,9.0
2017-01-04 21:00:00,17,1,4,21,11.0,7.0
2017-01-04 22:00:00,14,1,4,22,17.0,11.0
2017-01-04 23:00:00,12,1,4,23,14.0,17.0
2017-01-05 00:00:00,15,1,5,0,12.0,14.0
2017-01-05 01:00:00,12,1,5,1,15.0,12.0
2017-01-05 02:00:00,8,1,5,2,12.0,15.0
2017-01-05 03:00:00,6,1,5,3,8.0,12.0
2017-01-05 04:00:00,1,1,5,4,6.0,8.0
2017-01-05 05:00:00,6,1,5,5,1.0,6.0
2017-01-05 06:00:00,7,1,5,6,6.0,1.0
2017-01-05 07:00:00,3,1,5,7,7.0,6.0
2017-01-05 08:00:00,9,1,5,8,3.0,7.0
2017-01-05 09:00:00,7,1,5,9,9.0,3.0
2017-01-05 10:00:00,14,1,5,10,7.0,9.0
2017-01-05 11:00:00,14,1,5,11,14.0,7.0
2017-01-05 12:00:00,13,1,5,12,14.0,14.0
2017-01-05 13:00:00,15,1,5,13,13.0,14.0
